id,name,x,y,simc,prng,kind,gmina,powiat
1,Abramy,491.231,691.101,0673733,42,wieś,Kałuszyn-gmina miejsko-wiejska,miński
2,Adamczycha,584.796,651.442,0505929,63,wieś,Baranowo-gmina wiejska,ostrołęcki
3,Adamowa Góra,489.387,582.242,0731703,91,wieś,Młodzieszyn-gmina wiejska,sochaczewski
4,Adamowice,453.772,601.768,0732335,100,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
5,Adamowizna,468.391,611.932,0002111,103,wieś,Grodzisk Mazowiecki-gmina miejsko-wiejska,grodziski
6,Adamowo,561.059,560.075,0111952,119,wieś,Bieżuń-gmina miejsko-wiejska,żuromiński
7,Adamowo,523.856,608.898,0116582,125,wieś,Joniec-gmina wiejska,płoński
8,Adamowo,534.411,615.009,0120690,122,wieś,Nowe Miasto-gmina miejsko-wiejska,płoński
9,Adamowo,561.635,579.157,0126468,120,wieś,Strzegowo-gmina wiejska,mławski
10,Adamowo,563.234,653.398,0508566,121,wieś,Czerwonka-gmina wiejska,makowski
11,Adamowo,543.930,668.281,0509169,130,wieś,Długosiodło-gmina wiejska,wyszkowski
12,Adamowo,553.135,532.769,0571168,117,wieś,Mochowo-gmina wiejska,sierpecki
13,Adampol,519.894,675.749,0673124,205,wieś,Jadów-gmina miejsko-wiejska,wołomiński
14,Adampol,506.772,685.407,0675376,206,wieś,Korytnica-gmina wiejska,węgrowski
15,Adamów,476.890,611.834,0002157,144,wieś,Grodzisk Mazowiecki-gmina miejsko-wiejska,grodziski
16,Adamów,497.259,543.668,0577627,138,wieś,Szczawin Kościelny-gmina wiejska,gostyniński
17,Adamów,419.610,664.141,0619142,154,wieś,Głowaczów-gmina miejsko-wiejska,kozienicki
18,Adamów,386.835,641.562,0627220,160,osada,Kowala-gmina wiejska,radomski
19,Adamów,424.292,632.106,0632651,150,wieś,Promna-gmina wiejska,białobrzeski
20,Adamów,354.180,671.260,0636229,174,wieś,Sienno-gmina miejsko-wiejska,lipski
21,Adamów,493.982,684.887,0670210,147,wieś,Dobre-gmina miejsko-wiejska,miński
22,Adamów,498.947,691.702,0693411,146,wieś,Wierzbno-gmina wiejska,węgrowski
23,Adamów Drwalewski,452.696,639.981,0616422,187,wieś,Chynów-gmina wiejska,grójecki
24,Adamów Rososki,452.311,647.068,0616439,189,wieś,Chynów-gmina wiejska,grójecki
25,Adamów-Parcel,462.126,608.185,0735196,185,wieś,Radziejowice-gmina wiejska,żyrardowski
26,Adamów-Wieś,463.209,609.481,0735210,186,wieś,Radziejowice-gmina wiejska,żyrardowski
27,Adamówek,501.424,617.377,0001117,190,wieś,Czosnów-gmina wiejska,nowodworski
28,Adamówek,454.341,605.781,0732341,191,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
29,Adelin,517.303,666.248,0523459,217,wieś,Zabrodzie-gmina wiejska,wyszkowski
30,Adolfin,400.798,665.783,0630474,227,wieś,Pionki-gmina wiejska,radomski
31,Adolfów,536.565,722.780,0669370,235,wieś,Ceranów-gmina wiejska,sokołowski
32,Agnieszkowo,562.559,534.816,0578213,250,wieś,Szczutowo-gmina wiejska,sierpecki
33,Albinów,531.656,711.471,0675873,289,wieś,Kosów Lacki-gmina miejsko-wiejska,sokołowski
34,Albinów,482.904,700.695,0676559,291,wieś,Kotuń-gmina wiejska,siedlecki
35,Aleksandria,528.265,609.818,0120709,311,wieś,Nowe Miasto-gmina miejsko-wiejska,płoński
36,Aleksandria,461.843,597.426,0734601,312,wieś,Puszcza Mariańska-gmina wiejska,żyrardowski
37,Aleksandrowo,520.575,622.162,0119830,344,wieś,Nasielsk-gmina miejsko-wiejska,nowodworski
38,Aleksandrowo,554.840,587.537,0127166,337,wieś,Strzegowo-gmina wiejska,mławski
39,Aleksandrowo,596.884,624.879,0507220,345,przysiółek,Chorzele-gmina miejsko-wiejska,przasnyski
40,Aleksandrowo,590.627,662.222,0512881,346,wieś,Lelis-gmina wiejska,ostrołęcki
41,Aleksandrowo,580.237,694.336,0521992,347,wieś,Troszyn-gmina wiejska,ostrołęcki
42,Aleksandrowo,529.557,561.801,0576415,338,wieś,Staroźreby-gmina miejsko-wiejska,płocki
43,Aleksandrowo k. Pokrytek,563.172,588.878,0127002,336,kolonia,Strzegowo-gmina wiejska,mławski
44,Aleksandrynów,515.219,525.668,0564091,442,wieś,Gostynin-gmina wiejska,gostyniński
45,Aleksandrów,498.202,611.092,0001123,360,wieś,Czosnów-gmina wiejska,nowodworski
46,Aleksandrów,455.240,649.727,0001502,367,wieś,Góra Kalwaria-gmina miejsko-wiejska,piaseczyński
47,Aleksandrów,505.920,639.251,0005569,357,wieś,Nieporęt-gmina wiejska,legionowski
48,Aleksandrów,493.607,564.891,0566003,359,wieś,Iłów-gmina wiejska,sochaczewski
49,Aleksandrów,495.912,556.494,0574391,358,wieś,Sanniki-gmina miejsko-wiejska,gostyniński
50,Aleksandrów,373.319,622.605,0615701,380,wieś,Chlewiska-gmina wiejska,szydłowiecki
51,Aleksandrów,397.463,662.952,0625332,377,wieś,Jedlnia-Letnisko-gmina miejsko-wiejska,radomski
52,Aleksandrów,435.948,660.514,0628537,370,wieś,Magnuszew-gmina miejsko-wiejska,kozienicki
53,Aleksandrów,452.414,618.165,0631290,366,wieś,Pniewy-gmina wiejska,grójecki
54,Aleksandrów,369.648,676.226,0636235,378,wieś,Sienno-gmina miejsko-wiejska,lipski
55,Aleksandrów,415.135,623.961,0642106,376,wieś,Wyśmierzyce-gmina miejsko-wiejska,białobrzeski
56,Aleksandrów,486.510,686.457,0673466,364,wieś,Jakubów-gmina wiejska,miński
57,Aleksandrów,441.835,675.384,0678274,368,wieś,Łaskarzew-gmina wiejska,garwoliński
58,Aleksandrów,488.436,576.906,0736505,361,wieś,Rybno-gmina wiejska,sochaczewski
59,Aleksandrów,475.714,590.399,0739202,362,wieś,Wiskitki-gmina miejsko-wiejska,żyrardowski
60,Aleksandrów Duży,360.417,681.011,0636241,381,wieś,Sienno-gmina miejsko-wiejska,lipski
61,Aleksandrówka,444.007,620.716,0613955,430,wieś,Belsk Duży-gmina wiejska,grójecki
62,Aleksandrówka,414.647,676.229,0627302,435,wieś,Kozienice-gmina miejsko-wiejska,kozienicki
63,Aleksandrówka,397.509,682.776,0631746,436,wieś,Policzna-gmina wiejska,zwoleński
64,Aleksandrówka,484.863,665.118,0669890,423,wieś,Dębe Wielkie-gmina wiejska,miński
65,Aleksandrówka,489.484,709.277,0671970,425,wieś,Grębków-gmina wiejska,węgrowski
66,Alfonsowo,437.062,635.784,0623570,447,wieś,Jasieniec-gmina wiejska,grójecki
67,Alfonsów,504.200,559.630,0575290,448,wieś,Słubice-gmina wiejska,płocki
68,Alojzów,375.352,657.234,0622546,462,wieś,Iłża-gmina miejsko-wiejska,radomski
69,Altanka,488.051,583.182,0738088,481,wieś,Sochaczew-gmina wiejska,sochaczewski
70,Amelin,580.059,649.885,0511657,495,wieś,Krasnosielc-gmina wiejska,makowski
71,Anastazew,520.427,668.726,0523471,556,wieś,Zabrodzie-gmina wiejska,wyszkowski
72,Anatolin,495.748,552.066,0572707,563,wieś,Pacyna-gmina wiejska,gostyniński
73,Andrzejewo,556.467,715.530,0394507,584,wieś,Andrzejewo-gmina wiejska,ostrowski
74,Andrzejki-Tyszki,571.588,697.837,0508106,589,wieś,Czerwin-gmina wiejska,ostrołęcki
75,Andrzejów,494.564,589.878,0009544,595,wieś,Brochów-gmina wiejska,sochaczewski
76,Andrzejów,498.676,544.994,0577700,594,osada,Szczawin Kościelny-gmina wiejska,gostyniński
77,Andrzejów,383.679,691.977,0633225,600,wieś,Przyłęk-gmina wiejska,zwoleński
78,Andrzejów Duranowski,482.180,585.351,0738094,609,wieś,Sochaczew-gmina wiejska,sochaczewski
79,Andrzejówka,397.123,681.020,0631752,614,wieś,Policzna-gmina wiejska,zwoleński
80,Andzin,525.783,613.757,0119787,626,wieś,Nasielsk-gmina miejsko-wiejska,nowodworski
81,Anielew,481.375,681.277,0681483,638,wieś,Mińsk Mazowiecki-gmina wiejska,miński
82,Anielin,548.283,624.543,0115000,650,kolonia,Gołymin-Ośrodek-gmina wiejska,ciechanowski
83,Anielin,534.184,612.900,0120715,651,wieś,Nowe Miasto-gmina miejsko-wiejska,płoński
84,Anielin,500.206,531.483,0564100,649,wieś,Gostynin-gmina wiejska,gostyniński
85,Anielin,441.685,626.340,0613978,653,wieś,Belsk Duży-gmina wiejska,grójecki
86,Anielin,402.477,677.038,0618510,658,wieś,Garbatka-Letnisko-gmina wiejska,kozienicki
87,Anielin,437.525,657.413,0628543,655,wieś,Magnuszew-gmina miejsko-wiejska,kozienicki
88,Anielin,376.884,661.517,0636809,660,wieś,Skaryszew-gmina miejsko-wiejska,radomski
89,Anielinek,487.360,680.162,0673472,670,wieś,Jakubów-gmina wiejska,miński
90,Anielów,437.896,691.312,0688172,677,wieś,Sobolew-gmina wiejska,garwoliński
91,Annopol,569.373,626.882,0517967,732,wieś,Przasnysz-gmina wiejska,przasnyski
92,Annopol,505.204,543.356,0577640,730,wieś,Szczawin Kościelny-gmina wiejska,gostyniński
93,Annopol,440.093,608.344,0614707,735,wieś,Błędów-gmina wiejska,grójecki
94,Annopol,510.574,683.645,0691837,733,wieś,Strachówka-gmina wiejska,wołomiński
95,Annowo,601.933,619.994,0507420,759,kolonia,Chorzele-gmina miejsko-wiejska,przasnyski
96,Annów,396.389,682.109,0632154,763,wieś,Policzna-gmina wiejska,zwoleński
97,Antonia,625.299,666.699,0513343,795,wieś,Łyse-gmina wiejska,ostrołęcki
98,Antonie,586.499,668.929,0515738,796,wieś,Olszewo-Borki-gmina wiejska,ostrołęcki
99,Antoniew,481.709,580.028,0733576,803,wieś,Nowa Sucha-gmina wiejska,sochaczewski
100,Antoniew,487.657,580.621,0738639,802,wieś,Sochaczew-gmina wiejska,sochaczewski
101,Antoniew,464.321,591.160,0739219,804,wieś,Wiskitki-gmina miejsko-wiejska,żyrardowski
102,Antoniewo,560.169,566.452,0125167,830,wieś,Siemiątkowo-gmina wiejska,żuromiński
103,Antoniewo,555.766,688.815,0516241,829,wieś,Ostrów Mazowiecka-gmina wiejska,ostrowski
104,Antoniewo,542.240,544.886,0565015,827,wieś,Gozdowo-gmina wiejska,sierpecki
105,Antonin,442.829,683.021,0671728,846,kolonia,Górzno-gmina wiejska,garwoliński
106,Antonina,498.535,684.483,0670226,853,wieś,Dobre-gmina miejsko-wiejska,miński
107,Antonina,486.056,684.168,0673489,845,wieś,Jakubów-gmina wiejska,miński
108,Antoninek,465.830,670.271,0674550,860,wieś,Kołbiel-gmina wiejska,otwocki
109,Antoninów,467.079,630.585,0006149,864,wieś,Piaseczno-gmina miejsko-wiejska,piaseczyński
110,Antoninów,515.406,536.403,0564122,861,wieś,Gostynin-gmina wiejska,gostyniński
111,Antoninów,507.203,541.869,0569421,862,wieś,Łąck-gmina wiejska,płocki
112,Antoniów,372.100,618.626,0615718,880,wieś,Chlewiska-gmina wiejska,szydłowiecki
113,Antoniów,373.111,667.932,0617048,879,wieś,Ciepielów-gmina miejsko-wiejska,lipski
114,Antoniów,396.773,604.274,0618711,884,wieś,Gielniów-gmina miejsko-wiejska,przysuski
115,Antoniów,379.591,654.612,0637200,878,wieś,Skaryszew-gmina miejsko-wiejska,radomski
116,Antoniówka,398.471,658.358,0625355,907,wieś,Jedlnia-Letnisko-gmina miejsko-wiejska,radomski
117,Antoniówka,398.723,679.117,0631769,908,wieś,Policzna-gmina wiejska,zwoleński
118,Antoniówka Wilczkowska,427.855,672.472,0680302,919,wieś,Maciejowice-gmina miejsko-wiejska,garwoliński
119,Antoniówka Świerżowska,426.202,671.716,0680271,918,wieś,Maciejowice-gmina miejsko-wiejska,garwoliński
120,Antonowo,543.578,696.891,0507182,924,osada leśna,Brok-gmina miejsko-wiejska,ostrowski
121,Antosin,490.371,573.803,0736528,942,wieś,Rybno-gmina wiejska,sochaczewski
122,Anusin,374.150,681.929,0617054,953,wieś,Ciepielów-gmina miejsko-wiejska,lipski
123,Arcelin,533.116,588.604,0121927,983,wieś,Płońsk-gmina wiejska,płoński
124,Archutowo,516.554,574.496,0560176,985,wieś,Bodzanów-gmina miejsko-wiejska,płocki
125,Archutówko,515.404,573.329,0560182,986,wieś,Bodzanów-gmina miejsko-wiejska,płocki
126,Arciechów,516.734,641.296,0007539,988,wieś,Radzymin-gmina miejsko-wiejska,wołomiński
127,Arciechów,501.220,574.544,0566010,989,wieś,Iłów-gmina wiejska,sochaczewski
128,Arciechówek,500.133,574.393,0566026,990,wieś,Iłów-gmina wiejska,sochaczewski
129,Arynów,485.181,673.295,0681490,1047,wieś,Mińsk Mazowiecki-gmina wiejska,miński
130,Atalin,391.338,682.104,0642796,1061,wieś,Zwoleń-gmina miejsko-wiejska,zwoleński
131,Augustowo,560.851,588.852,0126474,1084,wieś,Strzegowo-gmina wiejska,mławski
132,Augustowo,543.889,674.170,0509181,1085,wieś,Długosiodło-gmina wiejska,wyszkowski
133,Augustów,565.419,631.325,0117274,1098,wieś,Krasne-gmina wiejska,przasnyski
134,Augustów,426.832,650.260,0621452,1101,wieś,Grabów nad Pilicą-gmina wiejska,kozienicki
135,Augustów,388.394,642.820,0626900,1105,wieś,Kowala-gmina wiejska,radomski
136,Augustów,409.234,671.374,0630505,1103,wieś,Pionki-gmina wiejska,radomski
137,Augustówek,502.283,615.613,0001130,1111,wieś,Czosnów-gmina wiejska,nowodworski
138,Augustówka,460.748,671.786,0683105,1117,wieś,Osieck-gmina miejsko-wiejska,otwocki
139,Baba,604.927,672.717,0513366,1175,wieś,Łyse-gmina wiejska,ostrołęcki
140,Babice,429.490,697.337,0692334,1340,wieś,Trojanów-gmina wiejska,garwoliński
141,Babice Nowe,487.742,625.984,0008929,1349,wieś,Stare Babice-gmina wiejska,warszawski zachodni
142,Babiec Piaseczny,558.960,547.426,0574066,1389,wieś,Rościszewo-gmina wiejska,sierpecki
143,Babiec Rżały,559.649,547.710,0574072,1390,wieś,Rościszewo-gmina wiejska,sierpecki
144,Babiec-Więczanki,560.217,546.044,0574089,1387,wieś,Rościszewo-gmina wiejska,sierpecki
145,Babiec-Wrzosy,561.055,546.248,1056310,1388,kolonia,Rościszewo-gmina wiejska,sierpecki
146,Babilon,368.264,683.486,0627911,1422,wieś,Lipsko-gmina miejsko-wiejska,lipski
147,Babin,387.796,688.008,0633260,1434,wieś,Przyłęk-gmina wiejska,zwoleński
148,Baboszewo,535.851,585.020,0111515,1491,wieś,Baboszewo-gmina wiejska,płoński
149,Babski Borek,472.257,587.783,0739231,196779,osada leśna,Wiskitki-gmina miejsko-wiejska,żyrardowski
150,Babskie Budy,471.809,587.008,0739225,1509,wieś,Wiskitki-gmina miejsko-wiejska,żyrardowski
151,Baby,551.311,607.926,0112360,1524,wieś,Ciechanów-gmina wiejska,ciechanowski
152,Baby Dolne,506.684,524.658,0564145,1528,wieś,Gostynin-gmina wiejska,gostyniński
153,Baby Górne,506.843,523.138,0564151,1529,wieś,Gostynin-gmina wiejska,gostyniński
154,Bachorza,485.332,762.616,0012463,1570,wieś,Huszlew-gmina wiejska,łosicki
155,Bachorza,508.234,725.116,0688597,1569,wieś,Sokołów Podlaski-gmina wiejska,sokołowski
156,Bacze,563.759,615.150,0121376,1629,wieś,Opinogóra Górna-gmina wiejska,ciechanowski
157,Baczki,522.491,688.080,0678682,1635,wieś,Łochów-gmina miejsko-wiejska,węgrowski
158,Baczki,506.506,734.973,0684790,1636,wieś,Repki-gmina wiejska,sokołowski
159,Badowo-Dańki,455.079,606.291,0732358,1661,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
160,Badowo-Mściska,456.002,606.610,0732364,1663,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
161,Badulki,411.305,604.424,0630020,1668,wieś,Odrzywół-gmina miejsko-wiejska,przysuski
162,Badów Górny,453.881,605.259,0732370,1664,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
163,Bagatele,558.287,681.607,0522419,1677,wieś,Wąsewo-gmina wiejska,ostrowski
164,Bagienice,600.484,624.149,0507236,1699,wieś,Chorzele-gmina miejsko-wiejska,przasnyski
165,Bagienice Duże,587.166,567.319,0117676,1703,wieś,Kuczbork-Osada-gmina wiejska,żuromiński
166,Bagienice Małe,586.913,567.999,0117682,1704,wieś,Kuczbork-Osada-gmina wiejska,żuromiński
167,Bagienice Nowe,586.498,565.421,0117831,1706,wieś,Kuczbork-Osada-gmina wiejska,żuromiński
168,Bagienice Szlacheckie,578.918,647.363,0511670,1707,wieś,Krasnosielc-gmina wiejska,makowski
169,Bagienice-Folwark,580.091,646.360,0511663,1701,wieś,Krasnosielc-gmina wiejska,makowski
170,Bagienko,539.263,671.586,0506567,1730,osada leśna,Brańszczyk-gmina wiejska,wyszkowski
171,Bagno,504.782,627.630,0003010,1886,osada leśna,Jabłonna-gmina wiejska,legionowski
172,Bakuła,596.088,650.691,0505941,2087,wieś,Baranowo-gmina wiejska,ostrołęcki
173,Balcery,509.473,670.572,0521704,2109,wieś,Tłuszcz-gmina miejsko-wiejska,wołomiński
174,Bale,491.383,713.700,0682070,2123,wieś,Mokobody-gmina wiejska,siedlecki
175,Bandysie,606.330,647.732,0507940,2291,wieś,Czarnia-gmina wiejska,ostrołęcki
176,Baniocha,464.020,645.754,0001519,2357,wieś,Góra Kalwaria-gmina miejsko-wiejska,piaseczyński
177,Barak,371.793,630.331,0639162,2437,wieś,Szydłowiec-gmina miejsko-wiejska,szydłowiecki
178,Baraki,541.181,598.404,0125693,2452,wieś,Sochocin-gmina miejsko-wiejska,płoński
179,Baraki Chotumskie,559.218,600.265,0112377,2460,wieś,Ciechanów-gmina wiejska,ciechanowski
180,Baraki Osuchowskie,446.467,608.395,1060620,2461,kolonia,Mszczonów-gmina miejsko-wiejska,żyrardowski
181,Baranek,554.054,588.396,0126675,2473,kolonia,Strzegowo-gmina wiejska,mławski
182,Barania Ruda,478.356,699.933,0682927,2509,osada leśna,Mrozy-gmina miejsko-wiejska,miński
183,Baranicha,441.924,679.077,0678370,192421,osada,Łaskarzew-gmina wiejska,garwoliński
184,Baraniec,547.993,634.238,0116754,2539,wieś,Karniewo-gmina wiejska,makowski
185,Baraniec,546.210,599.277,0121063,2538,wieś,Ojrzeń-gmina wiejska,ciechanowski
186,Baranowo,592.498,653.450,0505958,2583,wieś,Baranowo-gmina wiejska,ostrołęcki
187,Baranów,375.835,691.021,0616043,2595,wieś,Chotcza-gmina wiejska,lipski
188,Baranów,474.137,600.756,0722822,2592,wieś,Baranów-gmina wiejska,grodziski
189,Barańce,566.911,620.538,0117512,2647,wieś,Krasne-gmina wiejska,przasnyski
190,Barchów,520.071,679.987,0678707,2688,wieś,Łochów-gmina miejsko-wiejska,węgrowski
191,Barcice,521.324,653.408,0520018,2692,wieś,Somianka-gmina wiejska,wyszkowski
192,Barcice Drwalewskie,450.983,637.280,0616445,2694,wieś,Chynów-gmina wiejska,grójecki
193,Barcice Rososkie,449.077,647.607,0616451,2696,wieś,Chynów-gmina wiejska,grójecki
194,Barcikowo,516.975,560.756,0575628,2703,wieś,Słupno-gmina wiejska,płocki
195,Barcząca,479.730,680.274,0681508,2726,wieś,Mińsk Mazowiecki-gmina wiejska,miński
196,Bardzice,383.770,650.545,0626923,2780,wieś,Kowala-gmina wiejska,radomski
197,Bartków,503.256,741.511,0675287,195005,osada leśna,Korczew-gmina wiejska,siedlecki
198,Bartniki,577.313,628.857,0517708,3005,wieś,Przasnysz-gmina wiejska,przasnyski
199,Bartniki,460.952,586.385,0734618,3004,wieś,Puszcza Mariańska-gmina wiejska,żyrardowski
200,Bartodzieje,538.480,648.304,0515075,3015,wieś,Obryte-gmina wiejska,pułtuski
201,Bartodzieje,435.628,632.350,0613984,3016,wieś,Belsk Duży-gmina wiejska,grójecki
202,Bartodzieje,408.866,653.028,0624108,3017,wieś,Jastrzębia-gmina wiejska,radomski
203,Bartodzieje,388.338,673.141,0639699,3018,wieś,Tczów-gmina wiejska,zwoleński
204,Bartodzieje-Gajówka,538.946,646.338,0515081,46655,osada leśna,Obryte-gmina wiejska,pułtuski
205,Bartosy,563.082,680.791,0522425,3038,wieś,Wąsewo-gmina wiejska,ostrowski
206,Bartosz,507.485,720.112,0688628,3042,kolonia,Sokołów Podlaski-gmina wiejska,sokołowski
207,Bartoszówka,457.918,613.865,0740346,3067,wieś,Żabia Wola-gmina wiejska,grodziski
208,Bartołdy,567.812,623.219,0117133,3027,wieś,Krasne-gmina wiejska,przasnyski
209,Barycz Nowa,386.114,684.228,0642827,3139,wieś,Zwoleń-gmina miejsko-wiejska,zwoleński
210,Barycz Stara,386.124,685.769,0642833,3140,wieś,Zwoleń-gmina miejsko-wiejska,zwoleński
211,Barycz-Kolonia,386.875,684.735,0642810,3138,wieś,Zwoleń-gmina miejsko-wiejska,zwoleński
212,Baryczka,387.253,696.188,0633277,3144,wieś,Przyłęk-gmina wiejska,zwoleński
213,Basin,476.830,602.802,0722839,3177,wieś,Baranów-gmina wiejska,grodziski
214,Basinów,520.578,673.119,0523488,3178,wieś,Zabrodzie-gmina wiejska,wyszkowski
215,Basinów,427.805,662.658,0628589,3179,wieś,Magnuszew-gmina miejsko-wiejska,kozienicki
216,Baszkówka,464.751,631.622,0006161,3209,wieś,Piaseczno-gmina miejsko-wiejska,piaseczyński
217,Batogowo,570.229,654.940,0520768,3241,wieś,Sypniewo-gmina wiejska,makowski
218,Bazar,557.290,642.035,0521070,3299,osada,Szelków-gmina wiejska,makowski
219,Bałki,512.355,728.247,0684808,2209,wieś,Repki-gmina wiejska,sokołowski
220,Bażantarnia,407.242,673.351,0630764,194694,osada leśna,Pionki-gmina wiejska,radomski
221,Bednary,463.205,596.013,0734647,3566,wieś,Puszcza Mariańska-gmina wiejska,żyrardowski
222,Bednarze,515.250,689.062,0675382,3574,wieś,Korytnica-gmina wiejska,węgrowski
223,Begno,544.946,625.172,0115861,3607,wieś,Gzy-gmina wiejska,pułtuski
224,Begno,527.835,571.467,0576421,3606,wieś,Staroźreby-gmina miejsko-wiejska,płocki
225,Bejdy,483.873,745.789,0016610,3610,wieś,Olszanka-gmina wiejska,łosicki
226,Belin,533.750,612.751,0120721,3641,wieś,Nowe Miasto-gmina miejsko-wiejska,płoński
227,Belno,502.312,521.515,0564168,3652,wieś,Gostynin-gmina wiejska,gostyniński
228,Belsk Duży,441.536,624.674,0613990,3658,wieś,Belsk Duży-gmina wiejska,grójecki
229,Belsk Mały,443.072,625.197,0614009,3659,wieś,Belsk Duży-gmina wiejska,grójecki
230,Bemowo,488.741,630.253,0988780,3738,część miasta,Warszawa-gmina miejska,Warszawa
231,Bendorzyn,538.376,539.726,0571174,3741,wieś,Mochowo-gmina wiejska,sierpecki
232,Benenard,463.156,598.145,0735233,3745,wieś,Radziejowice-gmina wiejska,żyrardowski
233,Beniaminów,510.565,643.100,0005575,3746,wieś,Nieporęt-gmina wiejska,legionowski
234,Berkowizna,361.679,670.804,0635603,3864,wieś,Rzeczniów-gmina wiejska,lipski
235,Bestwiny,470.728,678.897,0686954,3992,wieś,Siennica-gmina miejsko-wiejska,miński
236,Beszyno,522.237,589.173,0119497,4003,wieś,Naruszewo-gmina wiejska,płoński
237,Bełek,421.508,611.814,0629577,3701,wieś,Nowe Miasto nad Pilicą-gmina miejsko-wiejska,grójecki
238,Beźnik,397.545,619.383,0632190,4068,wieś,Przysucha-gmina miejsko-wiejska,przysuski
239,Biała,526.822,543.938,0576036,4236,wieś,Stara Biała-gmina wiejska,płocki
240,Biała Góra,429.979,645.131,0638599,4333,wieś,Stromiec-gmina wiejska,białobrzeski
241,Białasy,561.637,543.571,0578242,4473,wieś,Szczutowo-gmina wiejska,sierpecki
242,Białe,515.618,534.986,0564174,4505,wieś,Gostynin-gmina wiejska,gostyniński
243,Białe Błoto,526.723,630.958,0129136,4585,wieś,Winnica-gmina wiejska,pułtuski
244,Białe Błoto,551.417,548.717,0574592,4584,wieś,Sierpc-gmina wiejska,sierpecki
245,Białe Błoto,580.494,559.159,1060487,10524,kolonia,Żuromin-gmina miejsko-wiejska,żuromiński
246,Białe-Giezki,550.873,727.074,0395004,4517,wieś,Boguty-Pianki-gmina wiejska,ostrowski
247,Białe-Kwaczoły,548.622,727.385,0394921,4518,wieś,Boguty-Pianki-gmina wiejska,ostrowski
248,Białe-Misztale,549.801,725.859,0394950,4519,wieś,Boguty-Pianki-gmina wiejska,ostrowski
249,Białe-Papieże,549.850,725.506,0394973,4520,wieś,Boguty-Pianki-gmina wiejska,ostrowski
250,Białe-Szczepanowice,549.504,727.106,0394980,4521,wieś,Boguty-Pianki-gmina wiejska,ostrowski
251,Białe-Zieje,549.683,726.535,0394996,4522,wieś,Boguty-Pianki-gmina wiejska,ostrowski
252,Białebłoto-Kobyla,540.983,676.033,0506461,4657,wieś,Brańszczyk-gmina wiejska,wyszkowski
253,Białebłoto-Kurza,539.382,677.205,0506478,4658,wieś,Brańszczyk-gmina wiejska,wyszkowski
254,Białebłoto-Stara Wieś,541.054,676.798,0506484,4659,wieś,Brańszczyk-gmina wiejska,wyszkowski
255,Białka,495.330,539.414,0577656,4688,wieś,Szczawin Kościelny-gmina wiejska,gostyniński
256,Białka,365.835,654.590,0622813,4703,wieś,Iłża-gmina miejsko-wiejska,radomski
257,Białki,508.902,673.096,0521414,4728,wieś,Tłuszcz-gmina miejsko-wiejska,wołomiński
258,Białki,478.800,726.346,0686575,4729,wieś,Siedlce-gmina wiejska,siedlecki
259,Białkowo,520.705,556.873,0573434,4744,wieś,Radzanowo-gmina wiejska,płocki
260,Białobiel,586.607,671.307,0512898,4755,wieś,Lelis-gmina wiejska,ostrołęcki
261,Białobrzeg Bliższy,584.681,666.873,0515744,4777,wieś,Olszewo-Borki-gmina wiejska,ostrołęcki
262,Białobrzeg Dalszy,585.736,663.928,0515750,4778,wieś,Olszewo-Borki-gmina wiejska,ostrołęcki
263,Białobrzegi,511.072,639.805,0005581,4783,wieś,Nieporęt-gmina wiejska,legionowski
264,Białobrzegi,510.981,562.142,0560199,4782,wieś,Bodzanów-gmina miejsko-wiejska,płocki
265,Białobrzegi,374.097,691.668,0616072,4788,wieś,Chotcza-gmina wiejska,lipski
266,Białobrzegi,531.841,729.036,0690281,4780,wieś,Sterdyń-gmina wiejska,sokołowski
267,Białobrzegi,421.693,635.147,0973286,4784,miasto,Białobrzegi-gmina miejsko-wiejska,białobrzeski
268,Białobrzegi,509.615,638.961,1053760,236119,osada leśna,Nieporęt-gmina wiejska,legionowski
269,Białocin,490.485,566.086,0566032,4806,wieś,Iłów-gmina wiejska,sochaczewski
270,Białoskóry,545.185,547.317,0574600,4860,wieś,Sierpc-gmina wiejska,sierpecki
271,Białotarsk,508.823,521.855,0564180,4874,wieś,Gostynin-gmina wiejska,gostyniński
272,Białowieża,542.927,638.467,0122996,4888,wieś,Pułtusk-gmina miejsko-wiejska,pułtuski
273,Białołęka,496.680,638.472,0988796,4847,część miasta,Warszawa-gmina miejska,Warszawa
274,Białusny Lasek,612.638,653.360,0514839,4913,wieś,Myszyniec-gmina miejsko-wiejska,ostrołęcki
275,Białusny Lasek,614.155,653.493,0514845,4912,osada leśna,Myszyniec-gmina miejsko-wiejska,ostrołęcki
276,Białutki,487.621,611.037,0000017,4914,wieś,Błonie-gmina miejsko-wiejska,warszawski zachodni
277,Białuty,485.454,609.359,0000023,4917,wieś,Błonie-gmina miejsko-wiejska,warszawski zachodni
278,Białuty,541.465,548.897,0565021,4916,wieś,Gozdowo-gmina wiejska,sierpecki
279,Biały Dwór,581.646,559.125,0118641,4945,wieś,Lubowidz-gmina miejsko-wiejska,żuromiński
280,Biały Ług,455.567,641.207,0006988,4972,wieś,Prażmów-gmina wiejska,piaseczyński
